Date,City,District_Code,Division_Type,Frontage,Bedroom,Restroom,Floor,Ground_Area,Living_Area,Price
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,5,5,5.0,100,500.0,17000
2024-11-06, TPHCM,DTANBINHHCM,Urban,0,4,3,4.0,50,200.0,10500
2024-11-06, TPHCM,SDNHABEHCM,Suburban,0,3,2,3.0,25,75.0,1390
2024-11-06, TPHCM,D9TDHCM,Urban,1,3,3,3.0,619,1857.0,3400
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,3,4,3.0,35,105.0,4950
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,3,3,5.0,30,150.0,4490
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,13,13,6.0,100,600.0,13890
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,2,2,3.0,30,90.0,5300
2024-11-06, TPHCM,D9TDHCM,Urban,1,3,4,3.0,54,162.0,4700
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,2,2,2.0,44,88.0,4800
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,2,2,3.0,30,90.0,5300
2024-11-06, TPHCM,D9TDHCM,Urban,1,3,4,3.0,54,162.0,4700
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,2,2,2.0,44,88.0,4800
2024-11-06, TPHCM,D9TDHCM,Urban,0,4,4,3.0,73,219.0,6000
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,2,3,3.0,40,120.0,4600
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,1,4,4,4.0,40,160.0,6750
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,4,4,4.0,135,540.0,15400
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,4,5,4.0,50,200.0,7150
2024-11-06, TPHCM,D9TDHCM,Urban,0,2,2,2.0,101,202.0,5100
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,1,4,5,2.0,76,152.0,17500
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,21,21,3.0,153,459.0,17000
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,1,4,4,3.0,112,336.0,16500
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,0,4,5,4.0,60,240.0,6450
